surface	result	count	source	certainty	note
Reflexionsurtheils	Reflexionsurteils	5	cab	cab	
Particularität	Partikularität	5	cab	cab	
subsumirend	subsumierend	5	cab	cab	
Objectivirung	Objektivierung	5	cab	cab	
Eintheilungsgrund	Einteilungsgrund	5	cab	cab	
hiezu	hierzu	4	hegel1+cab	sure	
zweyter	zweiter	4	hegel1+cab	sure	
ignorirt	ignoriert	4	cab	cab	
bewußt	bewusst	4	hegel1	sure	
Werthes	Wertes	4	hegel1+cab	sure	
Sophisterey	Sophisterei	4	hegel1+cab	sure	
Hiebey	Hierbei	4	hegel1+cab	sure	
erfoderte	erforderte	4	cab	cab	
Vorurtheile	Vorurteile	4	cab	cab	
begreiffende	begreifende	4	hegel1+cab	sure	
Verwandschaft	Verwandtschaft	4	cab	cab	
vermißt	vermisst	4	hegel1	sure	
isolirte	isolierte	4	hegel1+cab	sure	
isolirtes	isoliertes	4	cab	cab	
Zweyten	Zweiten	4	hegel1+cab	sure	
Subjectives	Subjektives	4	cab	cab	
befreyte	befreite	4	hegel1+cab	sure	
abgethan	abgetan	4	hegel1+cab	sure	
concretere	konkretere	4	cab	cab	
Entschluß	Entschluss	4	hegel1	sure	
Abstractes	Abstraktes	4	cab	cab	
intellectuelle	intellektuelle	4	hegel1+cab	sure	
Nachtheil	Nachteil	4	cab	cab	
Antheil	Anteil	4	hegel1+cab	sure	
Reflectirte	Reflektierte	4	cab	cab	
begreifflich	begreiflich	4	hegel1	sure	
Aussereinanderseyn	Außereinandersein	4	mech	mech	
müßten	müssten	4	hegel1	sure	
perennirenden	perennierenden	4	hegel1+cab	sure	
Kategorieen	Kategorien	4	cab	cab	
fürsichseyend	fürsichseiend	4	hegel1	sure	
repelliren	repellieren	4	cab-korrigiert	sure	CAB verworfen
daseyenden	daseienden	4	hegel1	sure	
Attractiv	Attraktiv	4	manual	sure	
willkührlichen	willkürlichen	4	hegel1+cab	sure	
herbeyführt	herbeiführt	4	cab	cab	
tavtologisch	tautologisch	4	hegel1+cab	sure	
Alsdenn	Alsdann	4	hegel1+cab	sure	
Ausschliessung	Ausschließung	4	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Stätigkeit	Stetigkeit	4	cab	cab	
theilen	teilen	4	hegel1+cab	sure	
discreter	diskreter	4	cab	cab	
discret	diskret	4	cab	cab	
Zehen	Zehn	4	cab	cab	
operirt	operiert	4	cab	cab	
numerirt	numeriert	4	manual	sure	
exponirt	exponiert	4	manual	sure	
Erforderniß	Erfordernis	4	cab	cab	
Drey	Drei	4	cab	cab	
Ahndungen	Ahnungen	4	cab	cab	
Vertheilung	Verteilung	4	hegel1+cab	sure	
allmählige	allmähliche	4	hegel1+cab	sure	
Nichtdaseyns	Nichtdaseins	4	cab	cab	
fodern	fordern	4	hegel1+cab	sure	
